Symbol,Company name
20MICRONS,20 Microns Limited
21STCENMGM,21st Century Management Services Limited
3IINFOTECH,3i Infotech Limited
3MINDIA,3M India Limited
3PLAND,3P Land Holdings Limited
3RDROCK,3rd Rock Multimedia Limited
5PAISA,5Paisa Capital Limited
63MOONS,63 Moons Technologies Limited
AMJUMBO,A and M Jumbo Bags Limited
ABINFRA,A B Infrabuild Limited
ABNINT,A B N Intercorp Limited
A2ZINFRA,A2Z Infra Engineering Limited
AAKASH,Aakash Exploration Services Limited
AARON,Aaron Industries Limited
AARTIDRUGS,Aarti Drugs Limited
AARTIIND,Aarti Industries Limited
AARVEEDEN,Aarvee Denims & Exports Limited
AARVI,Aarvi Encon Limited
AAVAS,Aavas Financiers Limited
ABAN,Aban Offshore Limited
ABB,ABB India Limited
POWERINDIA,ABB Power Products and Systems India Limited
ABMINTLTD,ABM International Limited
ACC,ACC Limited
ACCELYA,Accelya Solutions India Limited
ACCORD,Accord Synergy Limited
ACCURACY,Accuracy Shipping Limited
ACEINTEG,Ace Integrated Solutions Limited
ACE,Action Construction Equipment Limited
ADANIENT,Adani Enterprises Limited
ADANIGAS,Adani Gas Limited
ADANIGREEN,Adani Green Energy Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
ADANIPOWER,Adani Power Limited
ADANITRANS,Adani Transmission Limited
ADFFOODS,ADF Foods Limited
ADHUNIKIND,Adhunik Industries Limited
ABCAPITAL,Aditya Birla Capital Limited
ABFRL,Aditya Birla Fashion and Retail Limited
BIRLAMONEY,Aditya Birla Money Limited
ADLABS,Adlabs Entertainment Limited
ADORWELD,Ador Welding Limited
ADROITINFO,Adroit Infotech Limited
ADVENZYMES,Advanced Enzyme Technologies Limited
ADVANIHOTR,Advani Hotels & Resorts (India) Limited
AEGISCHEM,Aegis Logistics Limited
AFFLE,Affle (India) Limited
AGARIND,Agarwal Industrial Corporation Limited
AGCNET,AGC Networks Limited
AGRITECH,Agri-Tech (India) Limited
AGROPHOS,Agro Phos India Limited
ATFL,Agro Tech Foods Limited
AHIMSA,Ahimsa Industries Limited
AHLADA,Ahlada Engineers Limited
AHLUCONT,Ahluwalia Contracts (India) Limited
AIAENG,AIA Engineering Limited
AIRAN,Airan Limited
AIROLAM,Airo Lam limited
AJANTPHARM,Ajanta Pharma Limited
AJMERA,Ajmera Realty & Infra India Limited
AJOONI,Ajooni Biotech Limited
AKASH,Akash Infra-Projects Limited
AKG,Akg Exim Limited
AKSHOPTFBR,Aksh Optifibre Limited
AKSHARCHEM,AksharChem India Limited
AKZOINDIA,Akzo Nobel India Limited
ALANKIT,Alankit Limited
ALBERTDAVD,Albert David Limited
ALCHEM,Alchemist Limited
